名称,用途,分类,主题,状态,维护状态,入口,仓库,原始标题,依据,日期
项目细节确认与交付时间节点讨论,回顾讨论主题：项目细节确认与交付时间节点讨论；项目对接与联调时间安排讨论；项目合作细节与计划安排沟通。完整内容见原资料。,会议条目,创业、经营与合作 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20250529-2202-8fcb7fbd/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-05-29 22:02 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-05-29
利用AI技术在闲鱼等平台开辟新业务,回顾讨论主题：利用AI技术在闲鱼等平台开辟新业务；利用社群资源扩大业务规模与合作策略；利用非标项目提升团队效率与利润。完整内容见原资料。,会议条目,创业、经营与合作 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20250610-2232-05bdef4c/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,06月10日 22:32 录音_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-06-10
讨论饮水机设备的生产及功能迭代,回顾讨论主题：讨论饮水机设备的生产及功能迭代。完整内容见原资料。,会议条目,智能硬件与产品交付 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20250611-1156-dc281b21/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,06月11日 11:56 录音_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-06-11
从自家工厂走货降低成本的讨论,回顾讨论主题：从自家工厂走货降低成本的讨论。完整内容见原资料。,会议条目,创业、经营与合作 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20250612-1526-49e8aada/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,06月12日 15:26 录音_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-06-12
AI促销员Demo硬件优化讨论,回顾讨论主题：AI促销员Demo硬件优化讨论；关于产品第一版WiFi模块改动及后续迭代计划；讨论利用现有板子进行硬件改造和生产进度。完整内容见原资料。,会议条目,智能硬件与产品交付 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20250612-2032-e0e549e4/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-06-12 20:32 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-06-12
讨论板子返工及设计优化问题,回顾讨论主题：讨论板子返工及设计优化问题；讨论电子产品合作与交付安排；批量生产与AI促销员合作计划。完整内容见原资料。,会议条目,创业、经营与合作 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20250614-2219-c2c3ecf1/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,06月14日 22:19 录音_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-06-14
关于焊盘设计问题的沟通与解决方案,回顾讨论主题：关于焊盘设计问题的沟通与解决方案。完整内容见原资料。,会议条目,智能硬件与产品交付 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20250617-1023-a7df245b/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-06-17 10:23 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-06-17
小象智合_导读,回顾讨论主题：AI在包装设计与印刷生产中的应用与变革；I的AI：实现包装设计与印刷全流程数字化智能化；AI技术在印刷包装及文创周边定制领域的应用与商业化。完整内容见原资料。,会议条目,出海、增长与商业化 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20250617-1609-4ad4dae7/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,小象智合_导读,原资料标题与摘要,2025-06-17
讨论焊接工艺问题及寻找可靠解决方案,回顾讨论主题：讨论焊接工艺问题及寻找可靠解决方案；元器件封装与虚焊问题的讨论；关于SMT封装问题及摄像头对接的讨论。完整内容见原资料。,会议条目,智能硬件与产品交付 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20250617-2016-d0861b2e/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-06-17 20:16 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-06-17
讨论摄像头连接器与屏幕装配问题,回顾讨论主题：讨论摄像头连接器与屏幕装配问题；手机排线安装与摄像头匹配问题讨论。完整内容见原资料。,会议条目,智能硬件与产品交付 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20250618-1029-3a313fe8/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-06-18 10:29 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-06-18
讨论产品功能问题与拍照逻辑,回顾讨论主题：讨论产品功能问题与拍照逻辑；讨论产品设计与硬件资源限制；讨论电子产品打板与生产进度。完整内容见原资料。,会议条目,智能硬件与产品交付 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20250623-1044-7eb16b03/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-06-23 10:44 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-06-23
摄像头、IC、驱动程序、规格书：录音资料,回查这条录音的现有资料与来源；缺少导读时先补齐材料。,会议条目,智能硬件与产品交付,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20250702-1453-22abd102/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-07-02 14:53 记录_导读,按原资料关键词建立检索标题；缺少可用章节标题,2025-07-02
讨论关于定制AI项目及甲方需求不确定性,回顾讨论主题：讨论关于定制AI项目及甲方需求不确定性；确定客户需求与项目方案讨论。完整内容见原资料。,会议条目,创业、经营与合作 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20250704-1929-d7518ae9/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-07-04 19:29 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-07-04
单片机第一次会议_导读,回顾讨论主题：优化报价策略与提升接单效率的讨论；讨论如何优化报价策略及提升业务效率；讨论业务合作与定制服务。完整内容见原资料。,会议条目,创业、经营与合作 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20250707-2044-18242201/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,单片机第一次会议_导读,原资料标题与摘要,2025-07-07
探讨AI智能产品合作与风险,回顾讨论主题：探讨AI智能产品合作与风险；讨论产品市场风险与合作策略；探讨特定渠道价值与AI数字人应用。完整内容见原资料。,会议条目,创业、经营与合作 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20250707-2121-a28b6fe2/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-07-07 21:21 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-07-07
设计ITM32采集卡的需求讨论,回顾讨论主题：设计ITM32采集卡的需求讨论；设计基于UDP的多面板网络连接方案；设计64路DI和48路DO的电路板及控制LED灯的方案。完整内容见原资料。,会议条目,创业、经营与合作 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20250708-1620-d4366e0b/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-07-08 16:20 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-07-08
关于硬件开发进度和计划调整的讨论,回顾讨论主题：关于硬件开发进度和计划调整的讨论；讨论产品样机制作及进度安排；讨论3C认证与产品功能更新策略。完整内容见原资料。,会议条目,智能硬件与产品交付 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20250711-1030-bbeca8ca/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-07-11 10:30 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-07-11
开发中医影像诊断与健康管理智能设备,回顾讨论主题：开发中医影像诊断与健康管理智能设备；定制中医保健设备的硬件设计与生产合作；ESP32与显示屏及触摸功能选型讨论。完整内容见原资料。,会议条目,智能硬件与产品交付 / 创业、经营与合作 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20250716-1619-a44a088b/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-07-16 16:19 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-07-16
寻找硬件合作伙伴以支持景区打卡结算系统,回顾讨论主题：寻找硬件合作伙伴以支持景区打卡结算系统；手环打卡设备合作需求讨论；讨论开发大屏车载打卡系统。完整内容见原资料。,会议条目,智能硬件与产品交付 / 创业、经营与合作 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20250716-1731-3a12549c/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-07-16 17:31 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-07-16
讨论项目实施与法律问题,回顾讨论主题：讨论项目实施与法律问题。完整内容见原资料。,会议条目,内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20250717-1452-8037045f/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,07月17日 14:52 录音_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-07-17
新城市AI下的硬件创新与出海机遇圆桌论坛,回顾讨论主题：新城市AI下的硬件创新与出海机遇圆桌论坛；智能硬件与教育科技的创新与展望；出门问问推出面向C端的AI硬件产品。完整内容见原资料。,会议条目,出海、增长与商业化 / 智能硬件与产品交付 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20250718-1045-cc9cca6b/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-07-18 10:45 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-07-18
探讨摄像头工作流优化及成本控制,回顾讨论主题：探讨摄像头工作流优化及成本控制。完整内容见原资料。,会议条目,智能硬件与产品交付 / 创业、经营与合作 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20250723-1046-5a2bbf04/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-07-23 10:46 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-07-23
讨论AI相框及指纹模块项目的可行性与需求,回顾讨论主题：讨论AI相框及指纹模块项目的可行性与需求；关于水杯结构和智能相框功能的讨论。完整内容见原资料。,会议条目,智能硬件与产品交付 / 创业、经营与合作 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20250723-2021-148d938b/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-07-23 20:21 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-07-23
讨论平台优化、摄像头组装及固件测试,回顾讨论主题：讨论平台优化、摄像头组装及固件测试。完整内容见原资料。,会议条目,智能硬件与产品交付 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20250725-1452-a22e782b/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-07-25 14:52 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-07-25
